State,Largest_City,Latitude,Longitude
AL,Huntsville,34.73037,-86.5861
AK,Anchorage,61.21806,-149.90028
AZ,Pheonix,33.44838,-112.07404
AR,Little Rock,34.74648,-92.28959
CA,Los Angeles,34.05223,-118.24368
CO,Denver,39.73915,-104.9847
CT,Bridgeport,41.16704,-73.20483
DE,Wilington,39.74595,-75.54659
FL,Jacksonville,30.33218,-81.65565
GA,Atlanta,33.749,-84.38798
HI,Honolulu,21.30694,-157.85833
ID,Boise,43.6135,-116.20345
IL,Chicago,41.85003,-87.65005
IN,Indianapolis,39.76838,-86.15804
IA,Des Moines,41.60054,-93.60911
KS,Wichita,37.69224,-97.33754
KY,Loiusville,38.25424,-85.75941
LA,New Orleans,29.95465,-90.07507
ME,Portland,43.66147,-70.25533
MD,Baltimore,39.29038,-76.61219
MA,Boston,42.35843,-71.05977
MI,Detroit,42.33143,-83.04575
MN,Minneapolis,44.97997,-93.26384
MS,Jackson,32.29876,-90.18481
MO,Kanas City,39.09973,-94.57857
MT,Billings,45.78329,-108.50069
NE,Omaha,41.25861,-95.93779
NV,Las Vegas,36.17497,-115.13722
NH,Manchester,42.99564,-71.45479
NJ,Newark,40.73566,-74.17237
NM,Albuquerque,35.08449,-106.65114
NY,New York City,40.71427,-74.00597
NC,Charlotte,35.22709,-80.84313
ND,Fargo,46.87719,-96.7898
OH,Columbus,39.96118,-82.99879
OK,Oklahoma City,35.46756,-97.51643
OR,Portland,45.52345,-122.67621
PA,Philadelphia,39.95233,-75.16379
RI,Providence,41.82399,-71.41283
SC,Charleston,32.78566,-79.925996
SD,Sioux Falls,42.4966815,-96.4058782
TN,Nashville,36.1622767,-86.7742984
TX,Houston,29.7589382,-95.3676974
UT,Salt Lake City,40.6632297,-111.9103124
VT,Burlington,44.4761601,-73.212906
VA,Virginia Beach,36.8529841,-75.9774183
WA,Seattle,47.6038321,-122.330062
WV,Charleston,32.7884363,-79.9399309
WI,Milwaukee,43.0349931,-87.922497
WY,Cheyenne,41.139981,-104.820246
